id,theta_error,theta_error_m,d_error,d_error_m,r_error,r_error_m,alpha_error,alpha_error_m
0,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000
1,0.194,-0.190,0.144,-0.175,-0.190,0.242,-0.141,0.122
2,-0.180,0.196,0.115,-0.344,-0.064,0.242,-0.171,0.184
3,0.144,-0.145,0.159,-0.099,0.147,-0.160,0.033,-0.046
4,0.189,-0.191,-0.034,-0.091,0.057,-0.374,0.098,-0.077
5,0.061,-0.065,0.186,-0.008,0.058,-0.179,-0.038,0.021
6,0.138,-0.070,-0.056,-0.023,0.050,0.070,0.172,-0.149
7,0.000,-0.070,0.000,0.037,0.000,0.070,0.000,-0.002
